title,release_date,popularity,vote_average,genre_ids,genre_names,type
Firefly,20/09/2002,378.723,8.335,"[18, 10759, 10765]","Comedy, Drama",tvshow
Frasier,16/09/1993,378.186,7.7,"[35, 10751]","Comedy, Family",tvshow
8 Out of 10 Cats,03/06/2005,377.674,6.861,[35],Comedy,tvshow
Bob's Burgers,09/01/2011,375.776,7.821,"[16, 35]","Animation, Comedy",tvshow
Bob's Burgers,09/01/2011,375.776,7.821,"[16, 35]","Animation, Comedy",tvshow
The Big Bang Theory,24/09/2007,374.888,7.899,[35],Comedy,tvshow
That '70s Show,23/08/1998,373.282,7.958,"[35, 10751, 18]","Comedy, Family, Drama",tvshow
Halo,24/03/2022,371.524,8.328,"[10765, 10759]","Sci-Fi & Fantasy, Action & Adventure",tvshow
The Beverly Hillbillies,26/09/1962,370.334,6.839,"[35, 10751]","Comedy, Family",tvshow
Daniel Tiger's Neighborhood,03/09/2012,369.952,6.8,"[16, 10751, 10762]","Animation, Family, Kids",tvshow
Genius,25/04/2017,369.382,7.8,[18],Drama,tvshow
Ninjago: Masters of Spinjitzu,11/01/2012,367.372,7.828,"[16, 10759, 10765, 35]","Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",tvshow
Star Wars: The Clone Wars,03/10/2008,366.972,8.467,"[10759, 16, 10765]","Action & Adventure, Animation, Sci-Fi & Fantasy",tvshow
Quantico,27/09/2015,366.743,6.538,"[80, 18, 9648]","Crime, Drama, Mystery",tvshow
Victoria,28/08/2016,366.065,7.28,[18],Drama,tvshow
The Leftovers,29/06/2014,366.048,7.606,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
Masters of Horror,28/10/2005,365.789,7.2,"[18, 9648, 80, 10765]","Drama, Mystery, Crime, Sci-Fi & Fantasy",tvshow
Moon Knight,30/03/2022,365.654,7.732,"[10759, 10765, 9648]","Action & Adventure, Sci-Fi & Fantasy, Mystery",tvshow
Saturday Night Live,11/10/1975,364.972,6.915,"[35, 10763]","Comedy, News",tvshow
World War Two,01/09/2018,363.366,8.0,"[99, 10768]","Documentary, War & Politics",tvshow
M*A*S*H,17/09/1972,361.737,7.9,"[10768, 18, 35]","War & Politics, Drama, Comedy",tvshow
WandaVision,15/01/2021,361.653,8.237,"[10765, 9648, 18]","Sci-Fi & Fantasy, Mystery, Drama",tvshow
Samurai Jack,10/08/2001,360.121,8.44,"[10765, 10759, 16]","Sci-Fi & Fantasy, Action & Adventure, Animation",tvshow
